customer_id,signup_date,region,plan,contract_type,monthly_fee_,tenure_months,payment_method,products_held,usage_gbmo,support_contacts_6m,complaints_raised,payment_failures_12m,nps_score_010,acquisition_channel,age_band,gender,paperless_billing,auto_renewal,churn_prob_score,churned_1yes,churn_date,churn_reason,high_risk_flag,revenue_per_product,tenure_band,predicted_churn_prob,predicted_churn
UK00123,2021-09-08 00:00:00.000000,South West,Standard,1-Year,19.99,44,Credit Card,5,9.3,1,1,0,8,Phone,35-44,M,No,Yes,0.02,0,,,0,3.9979999999999998,37m+,0.061844327,0
UK00124,2020-05-04 00:00:00.000000,South East,Basic,Month-to-Month,9.99,10,Bank Transfer,2,7.6,2,0,0,4,In-Store,45-54,M,Yes,Yes,0.55,1,2026-03-09 00:00:00.000000,Competitor offer,0,4.995,7-12m,0.7272416,1
UK00125,2021-11-17 00:00:00.000000,London,Standard,1-Year,19.99,46,Bank Transfer,3,13.8,3,0,0,8,Partner,45-54,M,No,Yes,0.02,0,,,0,6.663333333333333,37m+,0.033927653,0
UK00126,2021-09-11 00:00:00.000000,Yorkshire,Standard,Month-to-Month,19.99,9,Direct Debit,3,2.5,1,0,0,5,In-Store,45-54,M,Yes,No,0.49,1,2026-01-15 00:00:00.000000,Poor service quality,0,6.663333333333333,7-12m,0.709157,1
UK00127,2021-06-05 00:00:00.000000,East of England,Standard,Month-to-Month,19.99,43,Bank Transfer,5,13.6,0,0,2,7,Online,45-54,F,Yes,No,0.27,0,,,0,3.9979999999999998,37m+,0.11786242,0
UK00128,2024-05-22 00:00:00.000000,North West,Premium,2-Year,39.99,15,Direct Debit,5,63.6,0,1,0,4,Phone,35-44,M,Yes,No,0.02,0,,,0,7.998,13-24m,0.051943414,0
UK00129,2022-08-28 00:00:00.000000,South East,Basic,1-Year,9.99,33,Direct Debit,4,1.6,0,3,0,8,Referral,35-44,F,Yes,Yes,0.32,0,,,0,2.4975,25-36m,0.060356006,0
UK00130,2020-11-26 00:00:00.000000,South East,Premium,1-Year,39.99,6,Credit Card,4,60.6,5,0,1,8,Online,35-44,F,Yes,No,0.28,0,,,0,9.9975,0-6m,0.21510452,0
UK00131,2020-05-30 00:00:00.000000,West Midlands,Standard,Month-to-Month,19.99,65,Credit Card,4,22.6,0,0,2,10,Online,55-64,F,No,No,0.15,1,2024-12-07 00:00:00.000000,No longer needed,0,4.9975,37m+,0.3085584,0
UK00132,2021-09-05 00:00:00.000000,South East,Standard,Month-to-Month,19.99,15,Direct Debit,1,21.5,2,0,3,6,Phone,35-44,M,No,Yes,0.55,0,,,0,19.99,13-24m,0.26347372,0
UK00133,2021-04-19 00:00:00.000000,London,Standard,Month-to-Month,19.99,56,PayPal,2,13.1,1,0,0,8,Online,25-34,F,Yes,No,0.13,0,,,0,9.995,37m+,0.21710372,0
UK00134,2020-10-21 00:00:00.000000,South East,Standard,1-Year,19.99,63,PayPal,5,16.7,1,0,0,8,Phone,55-64,F,No,Yes,0.02,0,,,0,3.9979999999999998,37m+,0.032180354,0
UK00135,2023-04-29 00:00:00.000000,South East,Standard,Month-to-Month,19.99,15,Direct Debit,5,5.9,1,0,0,8,Phone,65+,F,No,No,0.15,1,2025-06-08 00:00:00.000000,Moved abroad,0,3.9979999999999998,13-24m,0.46312812,0
UK00136,2025-10-29 00:00:00.000000,South West,Standard,1-Year,19.99,2,Direct Debit,4,15.2,5,0,0,4,Referral,35-44,M,Yes,Yes,0.53,1,2026-02-09 00:00:00.000000,Price too high,0,4.9975,0-6m,0.76455325,1
UK00137,2020-11-04 00:00:00.000000,East of England,Basic,1-Year,9.99,64,Direct Debit,1,0.6,0,0,3,3,In-Store,65+,M,Yes,No,0.62,0,,,0,9.99,37m+,0.5130876,1
UK00138,2025-02-20 00:00:00.000000,South East,Basic,Month-to-Month,9.99,12,Direct Debit,2,2.3,0,1,0,10,Phone,25-34,M,Yes,Yes,0.41,0,,,0,4.995,7-12m,0.38285896,0
UK00139,2020-05-06 00:00:00.000000,Yorkshire,Standard,Month-to-Month,19.99,69,Credit Card,3,21.0,0,0,1,10,Referral,35-44,M,No,Yes,0.09,0,,,0,6.663333333333333,37m+,0.065653786,0
UK00140,2021-06-22 00:00:00.000000,London,Basic,2-Year,9.99,42,Credit Card,4,2.8,1,0,0,9,Online,55-64,F,No,No,0.02,0,,,0,2.4975,37m+,0.038569357,0
UK00141,2020-11-13 00:00:00.000000,North West,Premium,Month-to-Month,39.99,63,Credit Card,1,39.9,2,0,0,0,In-Store,25-34,M,No,No,0.45,0,,,0,39.99,37m+,0.26122093,0
UK00142,2020-08-29 00:00:00.000000,South West,Basic,2-Year,9.99,44,Bank Transfer,1,3.4,0,1,0,9,Online,35-44,Prefer not to say,No,Yes,0.06,0,,,0,9.99,37m+,0.059258603,0
UK00143,2020-06-16 00:00:00.000000,North East,Enterprise,Month-to-Month,79.99,39,Credit Card,3,75.6,0,0,0,10,Online,45-54,M,Yes,Yes,0.02,1,2025-09-11 00:00:00.000000,Price too high,0,26.66333333333333,37m+,0.24373968,0
UK00144,2020-05-30 00:00:00.000000,Yorkshire,Standard,Month-to-Month,19.99,57,Credit Card,1,4.5,5,0,0,8,Online,55-64,M,No,No,0.39,1,2025-11-18 00:00:00.000000,Moved abroad,0,19.99,37m+,0.47971016,0
UK00145,2022-08-15 00:00:00.000000,East Midlands,Premium,Month-to-Month,39.99,19,Direct Debit,5,36.1,2,0,1,7,In-Store,25-34,F,Yes,Yes,0.31,0,,,0,7.998,13-24m,0.09990697,0
UK00146,2021-02-09 00:00:00.000000,Scotland,Standard,2-Year,19.99,41,PayPal,1,9.5,0,0,1,5,Phone,55-64,F,No,Yes,0.02,0,,,0,19.99,37m+,0.09989473,0
UK00147,2023-01-20 00:00:00.000000,East of England,Standard,1-Year,19.99,38,Credit Card,2,5.9,1,0,0,9,Online,25-34,M,No,No,0.02,0,,,0,9.995,37m+,0.13401727,0
UK00148,2022-07-18 00:00:00.000000,North West,Basic,Month-to-Month,9.99,10,Direct Debit,3,2.0,0,2,2,2,Phone,35-44,M,No,Yes,0.95,1,2026-02-27 00:00:00.000000,Competitor offer,1,3.33,7-12m,0.9357464,1
UK00149,2020-05-10 00:00:00.000000,South East,Basic,2-Year,9.99,66,Credit Card,2,4.1,1,0,0,10,In-Store,65+,M,Yes,Yes,0.02,0,,,0,4.995,37m+,0.114952,0
UK00150,2021-03-25 00:00:00.000000,East Midlands,Basic,Month-to-Month,9.99,8,Direct Debit,2,1.0,0,1,0,8,Online,35-44,F,No,Yes,0.53,1,2026-02-03 00:00:00.000000,No longer needed,0,4.995,7-12m,0.7558005,1
UK00151,2022-05-01 00:00:00.000000,North East,Basic,Month-to-Month,9.99,4,Credit Card,5,4.5,0,1,0,7,Referral,25-34,M,Yes,Yes,0.72,1,2026-01-28 00:00:00.000000,Price too high,0,1.998,0-6m,0.6189081,1
UK00152,2024-10-24 00:00:00.000000,London,Premium,1-Year,39.99,6,Bank Transfer,2,56.5,0,3,0,6,Phone,35-44,M,No,No,0.4,1,2025-10-14 00:00:00.000000,Competitor offer,0,19.995,0-6m,0.35713395,0
UK00153,2022-02-23 00:00:00.000000,West Midlands,Basic,Month-to-Month,9.99,7,Credit Card,1,2.4,4,0,0,9,In-Store,35-44,M,No,Yes,0.61,1,2026-01-24 00:00:00.000000,Unknown,0,9.99,7-12m,0.28365332,0
UK00154,2020-06-03 00:00:00.000000,East of England,Enterprise,2-Year,79.99,70,PayPal,1,233.4,4,0,0,5,Referral,65+,M,No,No,0.02,0,,,0,79.99,37m+,0.06446671,0
UK00155,2020-10-31 00:00:00.000000,South East,Standard,2-Year,19.99,63,Direct Debit,2,17.8,2,0,2,10,Phone,45-54,F,No,Yes,0.02,0,,,0,9.995,37m+,0.15721944,0
UK00156,2022-02-21 00:00:00.000000,West Midlands,Basic,Month-to-Month,9.99,17,Credit Card,3,1.9,4,0,1,5,Online,18-24,M,Yes,Yes,0.61,1,2025-06-17 00:00:00.000000,Competitor offer,0,3.33,13-24m,0.6751768,1
UK00157,2021-07-08 00:00:00.000000,Yorkshire,Standard,1-Year,19.99,27,PayPal,1,9.7,0,1,0,7,Online,18-24,M,No,No,0.22,0,,,0,19.99,25-36m,0.07703098,0
UK00158,2020-11-18 00:00:00.000000,South East,Premium,Month-to-Month,39.99,23,PayPal,4,15.6,1,0,0,6,Online,18-24,F,Yes,Yes,0.21,1,2025-06-17 00:00:00.000000,Poor service quality,0,9.9975,13-24m,0.08012434,0
UK00159,2022-03-04 00:00:00.000000,East Midlands,Standard,2-Year,19.99,34,Credit Card,1,21.7,0,0,1,2,Partner,18-24,F,No,No,0.3,0,,,0,19.99,25-36m,0.13713408,0
UK00160,2022-01-15 00:00:00.000000,North West,Standard,Month-to-Month,19.99,46,Credit Card,3,18.4,1,0,0,4,Online,35-44,F,Yes,Yes,0.19,0,,,0,6.663333333333333,37m+,0.095996834,0
UK00161,2020-06-25 00:00:00.000000,London,Basic,Month-to-Month,9.99,68,Credit Card,5,1.8,3,3,1,10,Phone,35-44,M,Yes,No,0.57,0,,,0,1.998,37m+,0.45716548,0
UK00162,2021-03-16 00:00:00.000000,South West,Basic,Month-to-Month,9.99,36,Credit Card,5,4.5,1,0,0,10,Phone,25-34,F,Yes,Yes,0.31,0,,,0,1.998,25-36m,0.14896649,0
UK00163,2023-06-21 00:00:00.000000,North West,Enterprise,Month-to-Month,79.99,23,Bank Transfer,3,193.1,4,0,0,8,Referral,55-64,Prefer not to say,No,Yes,0.15,0,,,0,26.66333333333333,13-24m,0.05983191,0
UK00164,2021-04-22 00:00:00.000000,South East,Basic,Month-to-Month,9.99,29,Bank Transfer,3,2.4,4,0,0,7,Referral,35-44,M,Yes,Yes,0.55,0,,,0,3.33,25-36m,0.24278826,0
UK00165,2022-02-07 00:00:00.000000,Scotland,Premium,1-Year,39.99,48,Bank Transfer,5,75.1,0,0,0,8,Phone,25-34,Prefer not to say,No,Yes,0.02,0,,,0,7.998,37m+,0.007394557,0
UK00166,2020-05-27 00:00:00.000000,North West,Premium,Month-to-Month,39.99,38,Credit Card,5,90.8,1,3,2,8,Online,55-64,F,Yes,No,0.33,1,2023-07-17 00:00:00.000000,Price too high,0,7.998,37m+,0.6119313,1
UK00167,2020-12-01 00:00:00.000000,London,Enterprise,2-Year,79.99,12,Direct Debit,3,162.1,1,0,0,8,Online,35-44,M,Yes,No,0.02,0,,,0,26.66333333333333,7-12m,0.03852728,0
UK00168,2020-09-21 00:00:00.000000,Yorkshire,Standard,2-Year,19.99,13,PayPal,5,13.9,2,1,0,9,Online,18-24,M,Yes,Yes,0.02,0,,,0,3.9979999999999998,13-24m,0.049783476,0
UK00169,2023-12-23 00:00:00.000000,London,Premium,1-Year,39.99,10,Credit Card,1,38.3,1,3,2,10,Referral,25-34,M,Yes,Yes,0.44,1,2026-03-07 00:00:00.000000,No longer needed,0,39.99,7-12m,0.773717,1
UK00170,2022-05-02 00:00:00.000000,South East,Premium,Month-to-Month,39.99,37,Credit Card,4,22.1,1,1,0,2,Online,55-64,F,No,Yes,0.43,1,2024-05-06 00:00:00.000000,Price too high,1,9.9975,37m+,0.7427301,1
UK00171,2022-06-14 00:00:00.000000,London,Basic,Month-to-Month,9.99,15,Credit Card,4,1.9,3,0,0,6,In-Store,25-34,M,Yes,No,0.51,0,,,0,2.4975,13-24m,0.28431192,0
UK00172,2020-08-26 00:00:00.000000,West Midlands,Basic,Month-to-Month,9.99,13,PayPal,5,3.9,1,1,0,6,Referral,35-44,F,No,Yes,0.51,1,2025-04-08 00:00:00.000000,Poor service quality,0,1.998,13-24m,0.62595636,1
UK00173,2020-06-17 00:00:00.000000,London,Premium,2-Year,39.99,67,PayPal,5,57.9,0,2,0,8,Online,35-44,Prefer not to say,No,Yes,0.02,0,,,0,7.998,37m+,0.015110037,0
UK00174,2021-11-10 00:00:00.000000,South West,Standard,Month-to-Month,19.99,34,Direct Debit,1,10.9,0,0,0,8,Partner,18-24,F,No,Yes,0.17,0,,,0,19.99,25-36m,0.05185252,0
UK00175,2023-12-26 00:00:00.000000,East Midlands,Basic,2-Year,9.99,13,Direct Debit,1,3.8,3,1,1,7,Phone,18-24,M,Yes,No,0.44,1,2025-08-15 00:00:00.000000,No longer needed,0,9.99,13-24m,0.82847935,1
UK00176,2020-11-11 00:00:00.000000,North West,Basic,2-Year,9.99,35,Bank Transfer,3,2.2,1,1,1,0,Online,25-34,F,No,No,0.52,0,,,1,3.33,25-36m,0.4671435,0
UK00177,2020-09-30 00:00:00.000000,London,Standard,Month-to-Month,19.99,57,Direct Debit,4,8.5,2,1,1,9,In-Store,55-64,F,Yes,Yes,0.25,1,2022-09-02 00:00:00.000000,Moved abroad,0,4.9975,37m+,0.4758386,0
UK00178,2020-05-25 00:00:00.000000,North West,Basic,1-Year,9.99,47,Credit Card,4,2.9,1,0,0,5,In-Store,35-44,Prefer not to say,No,No,0.2,0,,,0,2.4975,37m+,0.034788206,0
UK00179,2021-06-21 00:00:00.000000,South East,Premium,Month-to-Month,39.99,12,Credit Card,2,47.9,3,1,0,6,In-Store,18-24,F,Yes,No,0.43,0,,,0,19.995,7-12m,0.18419631,0
UK00180,2024-07-14 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,2,PayPal,3,16.2,2,1,0,8,In-Store,25-34,M,No,Yes,0.52,1,2026-03-06 00:00:00.000000,Unknown,0,6.663333333333333,0-6m,0.65028125,1
UK00181,2021-12-26 00:00:00.000000,Yorkshire,Premium,Month-to-Month,39.99,37,Credit Card,1,39.5,1,0,0,3,In-Store,25-34,M,No,No,0.41,0,,,0,39.99,37m+,0.0667651,0
UK00182,2022-08-07 00:00:00.000000,East Midlands,Premium,Month-to-Month,39.99,38,Credit Card,4,77.4,2,0,3,6,Phone,25-34,F,No,No,0.35,0,,,0,9.9975,37m+,0.18512118,0
UK00183,2020-04-24 00:00:00.000000,South West,Premium,Month-to-Month,39.99,72,Direct Debit,2,91.5,2,1,0,2,Online,25-34,F,No,No,0.53,1,2023-08-11 00:00:00.000000,Competitor offer,1,19.995,37m+,0.9350214,1
UK00184,2020-08-12 00:00:00.000000,London,Basic,1-Year,9.99,10,PayPal,1,1.1,3,0,0,4,Online,65+,M,No,Yes,0.54,1,2025-08-28 00:00:00.000000,No longer needed,0,9.99,7-12m,0.8202135,1
UK00185,2020-10-21 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,23,Credit Card,4,12.6,0,1,0,1,In-Store,35-44,M,No,No,0.53,1,2025-10-31 00:00:00.000000,Price too high,1,4.9975,13-24m,0.72742873,1
UK00186,2022-04-04 00:00:00.000000,London,Standard,2-Year,19.99,42,PayPal,1,5.1,2,0,0,7,Online,25-34,F,No,Yes,0.02,0,,,0,19.99,37m+,0.08422213,0
UK00187,2021-05-13 00:00:00.000000,Scotland,Basic,1-Year,9.99,59,Credit Card,3,4.7,1,1,0,8,Partner,55-64,M,Yes,Yes,0.16,0,,,0,3.33,37m+,0.1502189,0
UK00188,2020-09-30 00:00:00.000000,West Midlands,Basic,Month-to-Month,9.99,65,Credit Card,1,3.0,1,0,1,6,Partner,45-54,F,Yes,Yes,0.47,0,,,0,9.99,37m+,0.29730448,0
UK00189,2020-05-02 00:00:00.000000,North West,Standard,Month-to-Month,19.99,71,Direct Debit,2,7.3,2,0,0,8,Phone,35-44,F,Yes,No,0.17,1,2021-08-02 00:00:00.000000,Competitor offer,0,9.995,37m+,0.595558,1
UK00190,2020-06-16 00:00:00.000000,East of England,Standard,2-Year,19.99,67,Direct Debit,4,4.5,0,0,0,6,In-Store,25-34,M,Yes,Yes,0.02,0,,,0,4.9975,37m+,0.01599982,0
UK00191,2020-08-04 00:00:00.000000,London,Premium,2-Year,39.99,12,Credit Card,1,62.4,4,0,0,2,Online,18-24,M,No,No,0.34,0,,,0,39.99,7-12m,0.2348169,0
UK00192,2021-10-25 00:00:00.000000,East of England,Basic,Month-to-Month,9.99,6,PayPal,2,2.8,1,2,2,3,Online,55-64,M,No,No,0.95,0,,,1,4.995,0-6m,0.5896524,1
UK00193,2020-11-23 00:00:00.000000,North West,Basic,2-Year,9.99,62,Bank Transfer,2,3.8,0,1,0,8,In-Store,35-44,M,No,No,0.06,0,,,0,4.995,37m+,0.07343531,0
UK00194,2020-05-19 00:00:00.000000,North East,Premium,1-Year,39.99,17,Direct Debit,4,40.3,1,0,0,7,Phone,45-54,F,Yes,No,0.06,0,,,0,9.9975,13-24m,0.020425085,0
UK00195,2021-03-03 00:00:00.000000,East Midlands,Premium,1-Year,39.99,56,Credit Card,3,66.9,2,0,0,5,Phone,25-34,F,No,Yes,0.02,0,,,0,13.33,37m+,0.02728548,0
UK00196,2022-10-28 00:00:00.000000,South East,Standard,Month-to-Month,19.99,36,Credit Card,4,0.8,1,0,0,5,In-Store,25-34,Prefer not to say,Yes,Yes,0.37,0,,,0,4.9975,25-36m,0.08687447,0
UK00197,2024-12-09 00:00:00.000000,Yorkshire,Basic,2-Year,9.99,12,Credit Card,3,1.7,3,0,0,10,Online,35-44,F,No,No,0.12,0,,,0,3.33,7-12m,0.11119129,0
UK00198,2021-03-26 00:00:00.000000,East of England,Basic,Month-to-Month,9.99,29,Direct Debit,3,3.4,1,0,0,6,Referral,45-54,M,No,Yes,0.43,1,2024-12-11 00:00:00.000000,Price too high,0,3.33,25-36m,0.25720036,0
UK00199,2021-09-16 00:00:00.000000,London,Premium,Month-to-Month,39.99,44,Credit Card,5,22.4,0,2,0,6,Phone,35-44,M,No,Yes,0.29,0,,,0,7.998,37m+,0.14987017,0
UK00200,2024-03-12 00:00:00.000000,South West,Basic,Month-to-Month,9.99,14,PayPal,3,2.1,1,0,3,8,Online,65+,Prefer not to say,No,Yes,0.49,1,2025-12-02 00:00:00.000000,No longer needed,0,3.33,13-24m,0.60323167,1
UK00201,2020-05-15 00:00:00.000000,South East,Premium,2-Year,39.99,71,Credit Card,5,39.8,2,0,0,8,Phone,65+,M,No,Yes,0.02,0,,,0,7.998,37m+,0.009274847,0
UK00202,2021-10-11 00:00:00.000000,East Midlands,Standard,1-Year,19.99,54,Credit Card,5,17.3,0,1,1,10,Online,18-24,M,No,Yes,0.02,0,,,0,3.9979999999999998,37m+,0.1910072,0
UK00203,2025-02-28 00:00:00.000000,London,Premium,1-Year,39.99,8,Credit Card,5,69.9,0,1,0,5,Phone,35-44,F,No,Yes,0.22,0,,,0,7.998,7-12m,0.14150849,0
UK00204,2021-07-21 00:00:00.000000,Scotland,Standard,2-Year,19.99,41,PayPal,3,4.7,0,1,1,1,Partner,45-54,F,Yes,Yes,0.34,1,2023-11-08 00:00:00.000000,Unknown,1,6.663333333333333,37m+,0.8222111,1
UK00205,2020-06-02 00:00:00.000000,Scotland,Basic,Month-to-Month,9.99,66,Credit Card,3,3.0,1,0,0,1,Partner,45-54,F,No,No,0.57,0,,,0,3.33,37m+,0.3568397,0
UK00206,2021-10-25 00:00:00.000000,London,Standard,1-Year,19.99,41,Direct Debit,5,17.4,0,0,0,10,Online,55-64,F,No,No,0.02,0,,,0,3.9979999999999998,37m+,0.02275029,0
UK00207,2020-08-26 00:00:00.000000,East Midlands,Enterprise,2-Year,79.99,61,Bank Transfer,1,35.8,0,0,0,9,Phone,35-44,F,Yes,No,0.02,0,,,0,79.99,37m+,0.041029766,0
UK00208,2020-06-12 00:00:00.000000,London,Premium,2-Year,39.99,67,Credit Card,5,5.7,1,0,2,6,Online,18-24,Prefer not to say,Yes,Yes,0.02,0,,,0,7.998,37m+,0.087256886,0
UK00209,2020-10-10 00:00:00.000000,London,Standard,2-Year,19.99,55,Credit Card,4,15.8,2,2,1,4,Online,25-34,M,Yes,Yes,0.22,0,,,0,4.9975,37m+,0.060995452,0
UK00210,2021-12-14 00:00:00.000000,North West,Standard,Month-to-Month,19.99,52,Credit Card,1,17.5,1,0,0,0,Referral,35-44,F,No,No,0.47,0,,,0,19.99,37m+,0.33982107,0
UK00211,2021-02-20 00:00:00.000000,Scotland,Basic,Month-to-Month,9.99,49,Bank Transfer,4,3.8,0,0,1,8,Online,45-54,F,No,Yes,0.25,0,,,0,2.4975,37m+,0.13658778,0
UK00212,2024-03-02 00:00:00.000000,London,Standard,1-Year,19.99,1,Credit Card,5,0.8,4,0,1,6,Partner,55-64,M,Yes,Yes,0.65,1,2026-03-02 00:00:00.000000,Price too high,0,3.9979999999999998,0-6m,0.798867,1
UK00213,2024-05-19 00:00:00.000000,East of England,Basic,2-Year,9.99,7,Direct Debit,5,3.6,1,0,0,10,Partner,35-44,F,Yes,Yes,0.16,0,,,0,1.998,7-12m,0.1545948,0
UK00214,2020-10-02 00:00:00.000000,London,Basic,1-Year,9.99,63,Bank Transfer,3,3.3,2,0,0,8,Online,25-34,F,No,No,0.12,0,,,0,3.33,37m+,0.054540284,0
UK00215,2020-07-04 00:00:00.000000,West Midlands,Basic,1-Year,9.99,62,PayPal,3,4.1,1,0,0,6,Online,45-54,F,Yes,Yes,0.2,0,,,0,3.33,37m+,0.11415333,0
UK00216,2021-08-20 00:00:00.000000,South West,Standard,2-Year,19.99,52,Direct Debit,1,14.4,1,0,3,4,Online,35-44,F,No,Yes,0.16,0,,,0,19.99,37m+,0.078624226,0
UK00217,2020-09-15 00:00:00.000000,North West,Standard,Month-to-Month,19.99,65,Direct Debit,5,16.2,2,1,0,5,Partner,45-54,F,No,Yes,0.31,1,2023-08-15 00:00:00.000000,Price too high,0,3.9979999999999998,37m+,0.36173564,0
UK00218,2023-12-13 00:00:00.000000,South East,Basic,1-Year,9.99,27,Credit Card,4,4.6,1,0,0,9,Phone,35-44,F,No,Yes,0.16,0,,,0,2.4975,25-36m,0.037022587,0
UK00219,2023-09-13 00:00:00.000000,East Midlands,Standard,1-Year,19.99,10,Credit Card,2,5.1,1,0,1,6,Referral,35-44,M,No,Yes,0.36,1,2025-08-16 00:00:00.000000,Poor service quality,0,9.995,7-12m,0.73129636,1
UK00220,2021-03-20 00:00:00.000000,London,Premium,Month-to-Month,39.99,30,Direct Debit,1,47.1,1,0,0,6,In-Store,25-34,M,Yes,Yes,0.27,0,,,0,39.99,25-36m,0.09052082,0
UK00221,2024-01-09 00:00:00.000000,Yorkshire,Basic,Month-to-Month,9.99,8,PayPal,5,5.4,4,0,0,10,Partner,25-34,F,No,No,0.45,1,2026-02-24 00:00:00.000000,Poor service quality,0,1.998,7-12m,0.22255516,0
UK00222,2023-08-16 00:00:00.000000,East Midlands,Basic,1-Year,9.99,24,Credit Card,2,3.3,2,0,0,7,Online,25-34,M,No,Yes,0.38,0,,,0,4.995,13-24m,0.23324406,0
UK00223,2025-07-27 00:00:00.000000,North East,Basic,2-Year,9.99,5,PayPal,1,2.9,0,1,2,7,Phone,35-44,M,Yes,No,0.63,1,2026-02-25 00:00:00.000000,No longer needed,0,9.99,0-6m,0.8372102,1
UK00224,2023-05-12 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,13,Direct Debit,2,11.9,4,0,0,5,Online,45-54,F,Yes,Yes,0.45,1,2025-06-12 00:00:00.000000,No longer needed,0,9.995,13-24m,0.52742624,1
UK00225,2024-07-18 00:00:00.000000,North West,Standard,Month-to-Month,19.99,20,Credit Card,3,10.6,3,0,0,8,Phone,35-44,M,No,No,0.23,0,,,0,6.663333333333333,13-24m,0.18038732,0
UK00226,2020-10-06 00:00:00.000000,East of England,Standard,1-Year,19.99,51,Credit Card,1,20.9,2,0,0,9,In-Store,55-64,F,Yes,Yes,0.02,0,,,0,19.99,37m+,0.042352065,0
UK00227,2022-07-23 00:00:00.000000,East of England,Standard,1-Year,19.99,19,Direct Debit,1,17.7,0,0,0,8,In-Store,45-54,F,Yes,No,0.02,0,,,0,19.99,13-24m,0.05940366,0
UK00228,2020-05-03 00:00:00.000000,East Midlands,Basic,Month-to-Month,9.99,67,Credit Card,5,3.3,1,1,0,1,Phone,65+,M,No,No,0.65,1,2022-12-09 00:00:00.000000,Poor service quality,1,1.998,37m+,0.63802755,1
UK00229,2021-05-27 00:00:00.000000,London,Basic,2-Year,9.99,9,Direct Debit,5,2.7,4,0,2,7,In-Store,18-24,M,Yes,Yes,0.52,1,2025-12-18 00:00:00.000000,Unknown,0,1.998,7-12m,0.68062514,1
UK00230,2020-06-06 00:00:00.000000,Scotland,Premium,2-Year,39.99,69,Bank Transfer,4,75.3,5,0,1,8,In-Store,35-44,F,Yes,No,0.02,0,,,0,9.9975,37m+,0.0102058025,0
UK00231,2021-12-03 00:00:00.000000,East Midlands,Basic,1-Year,9.99,29,Credit Card,3,2.6,1,0,0,5,Phone,55-64,M,Yes,No,0.28,0,,,0,3.33,25-36m,0.08344028,0
UK00232,2021-10-19 00:00:00.000000,Yorkshire,Basic,2-Year,9.99,24,Credit Card,2,1.9,1,0,1,8,Online,25-34,F,Yes,Yes,0.16,1,2024-06-22 00:00:00.000000,No longer needed,0,4.995,13-24m,0.62529653,1
UK00233,2020-05-25 00:00:00.000000,East Midlands,Premium,2-Year,39.99,70,Credit Card,3,81.2,2,0,3,9,Referral,35-44,M,Yes,Yes,0.02,0,,,0,13.33,37m+,0.11629459,0
UK00234,2022-01-30 00:00:00.000000,Scotland,Standard,1-Year,19.99,5,Direct Debit,2,4.7,1,0,0,6,Online,25-34,F,No,No,0.53,0,,,0,9.995,0-6m,0.70743126,1
UK00235,2022-07-23 00:00:00.000000,Yorkshire,Basic,Month-to-Month,9.99,31,Credit Card,3,2.6,1,0,0,10,Online,25-34,F,Yes,Yes,0.31,0,,,0,3.33,25-36m,0.14105417,0
UK00236,2020-09-08 00:00:00.000000,Yorkshire,Premium,Month-to-Month,39.99,49,Bank Transfer,2,24.3,1,0,0,9,Referral,35-44,F,No,No,0.07,0,,,0,19.995,37m+,0.06465875,0
UK00237,2023-06-15 00:00:00.000000,London,Premium,1-Year,39.99,13,Direct Debit,3,34.2,1,0,0,2,Referral,35-44,M,No,Yes,0.28,0,,,0,13.33,13-24m,0.1180748,0
UK00238,2021-12-01 00:00:00.000000,Yorkshire,Standard,Month-to-Month,19.99,37,Direct Debit,4,16.9,2,0,0,8,Partner,55-64,F,No,No,0.11,0,,,0,4.9975,37m+,0.17567019,0
UK00239,2022-10-22 00:00:00.000000,South West,Standard,Month-to-Month,19.99,10,PayPal,3,9.1,1,0,0,6,Partner,45-54,F,No,No,0.39,1,2025-06-08 00:00:00.000000,Price too high,0,6.663333333333333,7-12m,0.40845257,0
UK00240,2020-06-16 00:00:00.000000,South East,Basic,Month-to-Month,9.99,11,PayPal,1,2.1,0,2,0,6,In-Store,65+,M,Yes,Yes,0.77,1,2025-11-13 00:00:00.000000,Poor service quality,0,9.99,7-12m,0.7027266,1
UK00241,2023-05-06 00:00:00.000000,South East,Basic,Month-to-Month,9.99,17,Bank Transfer,1,4.1,0,0,2,9,In-Store,25-34,Prefer not to say,Yes,No,0.45,0,,,0,9.99,13-24m,0.29208884,0
UK00242,2020-06-02 00:00:00.000000,Yorkshire,Standard,1-Year,19.99,68,Credit Card,3,6.9,1,0,0,7,Online,25-34,M,Yes,No,0.04,0,,,0,6.663333333333333,37m+,0.10253311,0
UK00243,2020-07-29 00:00:00.000000,West Midlands,Standard,2-Year,19.99,63,Direct Debit,1,14.2,2,1,0,7,Phone,35-44,M,No,No,0.1,0,,,0,19.99,37m+,0.041596036,0
UK00244,2020-08-07 00:00:00.000000,East Midlands,Basic,2-Year,9.99,67,Credit Card,3,1.2,0,1,1,10,Online,25-34,M,No,No,0.06,0,,,0,3.33,37m+,0.12288175,0
UK00245,2022-12-03 00:00:00.000000,London,Standard,Month-to-Month,19.99,3,Credit Card,1,9.9,0,0,0,10,Online,25-34,M,No,No,0.42,0,,,0,19.99,0-6m,0.16318332,0
